---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Music Duration Reducer](https://www.curseforge.com/minecraft/mc-mods/music-duration-reducer)**|Plays music more often; reducing the duration between songs.|170|1.16.2
**[Music Expansion](https://www.curseforge.com/minecraft/mc-mods/music-expansion)**|Expands Minecraft's musical functionality.|184|1.16.1
**[MusicDiscsPlus](https://www.curseforge.com/minecraft/mc-mods/musicdiscsplus)**|Adds 144+ Music Discs to minecarft!|301|1.16.1
**[Mutuality](https://www.curseforge.com/minecraft/mc-mods/mutuality)**|Allows configuring various mutually exclusive enchantments.|486|1.16.2
**[MyCommands](https://www.curseforge.com/minecraft/mc-mods/mycommands)**|server and client Commands|407,293|1.16.1
**[NAFIS](https://www.curseforge.com/minecraft/mc-mods/nafis)**|Yet another tool/weapon modification mod|104|1.16.2
**[Name Pain](https://www.curseforge.com/minecraft/mc-mods/name-pain)**|Vanilla-friendly nameplate coloring for combat or cosmetics. RGBA configs can tweak & hide names.           clientside client-side qol quality life simple lightweight players pets nametag name tag health change colors vanity disable fabric|247,777|1.16.2
**[NanoEvents](https://www.curseforge.com/minecraft/mc-mods/nanoevents)**|an API for zero overhead event based programming for fabric|16|1.16-Snapshot
**[NarratorBind](https://www.curseforge.com/minecraft/mc-mods/narratorbind)**|Moves the narrator to a keybind.|902|1.14.4
**[Nbt Crafting (Fabric)](https://www.curseforge.com/minecraft/mc-mods/nbt-crafting)**|Gives you the ability to add recipes depending on items' nbt data.|12,555|1.16.2
**[NBT Tooltip](https://www.curseforge.com/minecraft/mc-mods/nbt-tooltip)**|Show the item's NBT in its tooltip|17,569|1.16.2
**[NBT Viewer (Fabric)](https://www.curseforge.com/minecraft/mc-mods/nbt-viewer-fabric)**|View the NBT data of your items!|280|1.16-Snapshot
**[Net Weight](https://www.curseforge.com/minecraft/mc-mods/net-weight)**|There's a fine line between fishing and just standing on the shore like an idiot.|2,338|1.15.2
**[Nether Extra Update [FABRIC/FORGE]](https://www.curseforge.com/minecraft/mc-mods/nether-extra-update)**|Minecraft 1.16 Forge and Fabric vanilla like mod that expands the Nether Update|286|1.16.1
**[Nether Roof Nerf [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-nether-roof-nerf)**|Changes the biome of the nether roof to be void|76|1.16-Snapshot
**[Nether Things](https://www.curseforge.com/minecraft/mc-mods/nether-things)**|A mod that adds things related to the Nether|33,621|1.14.4
**[netherHigher](https://www.curseforge.com/minecraft/mc-mods/netherhigher)**|Raises The Nether and End's height limits|2,889|1.16-Snapshot
**[Netherite Horse Armor](https://www.curseforge.com/minecraft/mc-mods/netherite-horse-armor)**|Adds Netherite Horse Armor!|28,456|1.16.2
**[Netherite Plus](https://www.curseforge.com/minecraft/mc-mods/netherite-plus-mod)**|Adds more netherite features to your game.|3,868|1.16.2
**[Netherite Shulkers](https://www.curseforge.com/minecraft/mc-mods/netherite-shulkers)**|Upgrade your existing shulkers for extra protection and storage space!|301|1.16.2
**[Netherited (Fabric)](https://www.curseforge.com/minecraft/mc-mods/fabric-netherited)**|Adds an enchantment that prevents items from burning in lava and fire.|502|1.16.1
**[NetheritePlus+](https://www.curseforge.com/minecraft/mc-mods/netheriteplus)**|Not Just Backport. Forge 1.7.10, 1.8, Fabric 1.14-1.15|1,197|1.15.2
**[Nethermode](https://www.curseforge.com/minecraft/mc-mods/nethermode)**|Move the worldspawn into the Nether|129|1.16-Snapshot
**[Nice To Have (Fabric)](https://www.curseforge.com/minecraft/mc-mods/nice-to-have)**|A bunch of features that are nice to have|6,380|1.16-Snapshot
**[Nicephore (better screenshots) [Fabric]](https://www.curseforge.com/minecraft/mc-mods/nicephore-fabric)**|Nicephore is a Minecraft mod which convert any screenshot taken to JPEG, and add some useful tools to share these screenshots |83|1.16.2
**[Nifty (Fabric)](https://www.curseforge.com/minecraft/mc-mods/nifty-fabric)**|Nifty is a mod by Panno.|703|1.14-Snapshot
**[Night Vision flash be gone](https://www.curseforge.com/minecraft/mc-mods/night-vision-flash-be-gone)**|Gets rid of that annoying Night Vision flashing when it's about to run out|130|1.16.1
**[NightSkip](https://www.curseforge.com/minecraft/mc-mods/nightskip)**|Skips the night when a percentage of players are sleeping|5|1.15
**[No Ambient Mobs](https://www.curseforge.com/minecraft/mc-mods/no-ambient-mobs)**|Removes all ambient mobs (aka only bats)|377|1.16.2
**[No Fire Overlay Mod](https://www.curseforge.com/minecraft/mc-mods/no-fire-overlay-mod)**|A mod that removes fire overlay in certain situtations|284|1.16.1
**[No Friction Mod (Fabric)](https://www.curseforge.com/minecraft/mc-mods/no-friction-mod-fabric)**|Fabric port of Fundy's No Friction mod|17|1.16.1
**[No Lakes](https://www.curseforge.com/minecraft/mc-mods/no-lakes)**|Removes those pesky lakes from world gen.|16|1.16.1
**[No Player Labels](https://www.curseforge.com/minecraft/mc-mods/no-player-labels)**|Removes playernames|117|1.16.2
**[No Sneaking Over Magma!](https://www.curseforge.com/minecraft/mc-mods/no-sneaking-over-magma)**|Makes it so that you take damage even while sneaking on magma blocks. |68|1.16.2
**[No Strip](https://www.curseforge.com/minecraft/mc-mods/no-strip)**|Fabric client side mod that adds a toggle for whether you can strip logs|33|1.16.2
**[No Trample](https://www.curseforge.com/minecraft/mc-mods/no-trample)**|Boots enchanted with feather falling and entities with the slow falling status effect will never trample crops!|2,610|1.16.2
**[NoCurse](https://www.curseforge.com/minecraft/mc-mods/nocurse)**|There will be no curse enchantment|16|1.16
**[NoDamI (No Damage Immunity)](https://www.curseforge.com/minecraft/mc-mods/nodami)**|Every Hit Matters! How is a rightful hit [under certain condition] doing no damage acceptable?|97,788|1.16.1
**[NoExpensive](https://www.curseforge.com/minecraft/mc-mods/noexpensive)**|The anvil has no expensive restrictions|8,603|1.16.2
**[NoFog](https://www.curseforge.com/minecraft/mc-mods/nofog)**|A simple client-side mod supporting both forge and fabric that removes all fog|1,306,261|1.16.2
**[nogizmo](https://www.curseforge.com/minecraft/mc-mods/nogizmo)**|Disables the F3 3D direction gizmo crosshair and replaces it with the default one|99|1.16.2
**[NoItemBurn](https://www.curseforge.com/minecraft/mc-mods/noitemburn)**|A fabric 1.14.2 mod that stops items from burning when dropped in lava or fire.|120|1.14.2
**[NoJumpscare](https://www.curseforge.com/minecraft/mc-mods/nojumpscare)**|Removes the Elder Guardian jumpscare effect.|0|1.16.2
**[Nomad Books 📗](https://www.curseforge.com/minecraft/mc-mods/nomadbooks)**|Store camps inside books! A solution for players that are always adventuring.|12,857|1.16.2
**[NoMoreGlowingPots](https://www.curseforge.com/minecraft/mc-mods/nomoreglowingpots)**|Removes item glint from potions (the enchanted visual effect)|114,688|1.16.2
**[NonEvaporation](https://www.curseforge.com/minecraft/mc-mods/nonevaporation)**|Put water in the Nether. Supports Forge and Fabric, 1.7.10-1.16.2.|6,181|1.16.2
**[NonZero Farming](https://www.curseforge.com/minecraft/mc-mods/nonzero-farming)**|Patches 0-tick farms|41|1.16-Snapshot
**[NookBuild](https://www.curseforge.com/minecraft/mc-mods/nookbuild)**|More building blocks!|316|1.16.2
**[NoRecipeConflicts](https://www.curseforge.com/minecraft/mc-mods/norecipeconflicts)**|Recipe conflicts are no more!|1,127|1.14.4
**[Not Enough Crashes](https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes)**|When crashing, you can go back to the title screen and keep playing, without needing to restart, alongside other things to make crashes more pleasant.|24,027|1.16.2
**[Not Enough Wands](https://www.curseforge.com/minecraft/mc-mods/not-enough-wands)**|Adds various very configurable utility wands to Minecraft|18,442,810|1.14.1
**[Not Red Dust](https://www.curseforge.com/minecraft/mc-mods/not-red-dust)**|Allows for Redstone Wires to be any color!|53|1.16.1
**[Notchify](https://www.curseforge.com/minecraft/mc-mods/notchify)**|Enchant golden apples in a vanilla-friendly way!|2,786|1.16.2
**[Noteblock Expansion](https://www.curseforge.com/minecraft/mc-mods/noteblock-expansion)**|Adds more sounds to the noteblock|142|1.16.2
**[Notes Fabric](https://www.curseforge.com/minecraft/mc-mods/notes-fabric)**|Allows you to take notes in-game per server/world or optionally globally|37,315|1.16.1
**[Nourish](https://www.curseforge.com/minecraft/mc-mods/nourish)**|A data-driven nutrition mod|51|1.15.2
**[Now Playing](https://www.curseforge.com/minecraft/mc-mods/now-playing)**|Shows a 'now playing' popup whenever a song starts to play.|731|1.16.2
**[NoWaterCaves](https://www.curseforge.com/minecraft/mc-mods/nowatercaves)**|This mod disables underwater caves|1,399|1.16.2
**[NPC Variety](https://www.curseforge.com/minecraft/mc-mods/npc-variety)**|Gives villagers and illagers 7 new skin tones, 4 new eye colors, and clothing variations.|6,167|1.14.4
**[Numeric Ping](https://www.curseforge.com/minecraft/mc-mods/numericping)**|Displays ping numerically|1,286|1.16.2
**[Obey Horses](https://www.curseforge.com/minecraft/mc-mods/obey-horses)**|Allows horses to be instantly tamed in creative mode|47|1.16.2
**[Obligatory Loot Bag Mod (OLBM)](https://www.curseforge.com/minecraft/mc-mods/olbm)**|Obligatory Loot Bag Mod for Fabric and Minecraft 1.15+|1,098|1.15.2
**[Obsidian Pressure Plate [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/obsidian-pressure-plate)**|Adds a pressure plate that is only triggered by players, nothing else.|690|1.15.2
**[Obsidiplates - Fabric](https://www.curseforge.com/minecraft/mc-mods/obsidiplates-fabric)**|A recreation of the original mod|37|1.16.1
**[OfflineSkins (Fabric)](https://www.curseforge.com/minecraft/mc-mods/offlineskins-fabric)**|made it possible to cache your skins for offline use|985|1.16.2
**[Oh The Biomes You'll Go [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/oh-the-biomes-youll-go-fabric)**|An Adventure & Exploration mod like no other with unique, magical, realistic, and detailed biomes!|16,632|1.16.2
**[Oh, How the Crafting Has Tabled!](https://www.curseforge.com/minecraft/mc-mods/oh-how-the-crafting-has-tabled)**|Adds the other Crafting Table variants to the game!|1,795|1.16.2
**[Ok Zoomer](https://www.curseforge.com/minecraft/mc-mods/ok-zoomer)**|Adds a highly-configurable zoom key for Fabric. The zoom is yours!|85,086|1.16.2
**[Okyanus](https://www.curseforge.com/minecraft/mc-mods/okyanus)**|Serverside Fabric API|154|1.14.3
**[Okyanus Optimizations](https://www.curseforge.com/minecraft/mc-mods/okyanus-optimizations)**|Optimizing and Fixing the Fabric server.|197|1.14.3
**[Old Efficiency (Fabric)](https://www.curseforge.com/minecraft/mc-mods/old-efficiency-fabric)**|Makes efficiency affect all blocks.|1|1.16.2
**[Old Fish Farm](https://www.curseforge.com/minecraft/mc-mods/old-fish-farm)**|This mod allows the use of old fishing farms before 1.16, without the need to use datapacks.|335|1.16.1
**[Old MC Overlay](https://www.curseforge.com/minecraft/mc-mods/old-mc-overlay)**|Bera-Like Overlay  for newer versions|34|1.16.2
**[Old Notch Apples](https://www.curseforge.com/minecraft/mc-mods/oldnotchapple)**|Brings back the old, overpowered notch apples.|181|1.16.1
**[OmniTranslation](https://www.curseforge.com/minecraft/mc-mods/omnitranslation)**|OmniTranslation|173|1.16.2
**[On Soul Fire](https://www.curseforge.com/minecraft/mc-mods/on-soul-fire)**|Makes soul fire actually have unique properties |4,506|1.16.2
**[One For All](https://www.curseforge.com/minecraft/mc-mods/one-for-all)**|When one person dies, everyone in the world dies.|55|1.16.2
**[Open To Lan](https://www.curseforge.com/minecraft/mc-mods/open-to-lan)**|Allow online_mode: false with LAN games (and port setting)|318|1.16.2
**[OpenSavesFolder](https://www.curseforge.com/minecraft/mc-mods/opensavesfolder)**|Adds a open saves folder button to the single player menu.|81|1.16.2
**[OptiFabric](https://www.curseforge.com/minecraft/mc-mods/optifabric)**|A mod that allows running optifine on fabric.|819,662|1.16.2
**[OptiLegacy](https://www.curseforge.com/minecraft/mc-mods/optifabric-1-8-9)**|Optifine for 1.8.9|26|1.8.9
**[Orderly (Fabric)](https://www.curseforge.com/minecraft/mc-mods/orderly)**|Minimalistic Functional Unit Plates for the modern Minecrafter. Not a mod by Vazkii.|113,057|1.16.1
**[Origins](https://www.curseforge.com/minecraft/mc-mods/origins)**|Players choose an Origin at the beginning of the game to gain benefits and drawbacks|16,345|1.16.2
**[Origins: Classes](https://www.curseforge.com/minecraft/mc-mods/origins-classes)**|Add-on for Origins which adds classes|2,001|1.16.2
**[Over Head HP](https://www.curseforge.com/minecraft/mc-mods/fabric-over-head-hp)**|Display Health remaining over mob heads|3,652|1.14
**[Over Populated (NOW CONFIGURABLE!!!)](https://www.curseforge.com/minecraft/mc-mods/over-populated)**|Increases Village spawn rate to make them spawn as giant biome filling metropolises instead of small villages.|5,297|1.14.3
**[Overgrown Cities (Fabric)](https://www.curseforge.com/minecraft/mc-mods/overgrown-cities-fabric)**|A new dimension with decaying cities hidden in the wilderness!|1,455|1.15.2
**[Overloaded Armor Bar Fabric](https://www.curseforge.com/minecraft/mc-mods/overloaded-armor-bar-fabric)**|display armor over 20 points|2,299|1.16.1
**[Overpowered Pickles [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/overpowered-pickles-fabric)**|Provides more hearts than anyone should need|710|1.16.1
**[Overworld Two](https://www.curseforge.com/minecraft/mc-mods/overworld-two)**|An optimization mod that generates the overworld much faster than Vaniila!|1,218|1.16.2
**[OwOLib](https://www.curseforge.com/minecraft/mc-mods/owolib)**|Randomly generated OwO|41|1.16.2
**[Oysters](https://www.curseforge.com/minecraft/mc-mods/oysters)**|Fabric Aquatic Themed Resource Generation|14,291|1.16.1
**[Oysters Cooking](https://www.curseforge.com/minecraft/mc-mods/oysters-cooking)**|Delicious Add-on for Oysters mod|1,709|1.15.2
**[Packages](https://www.curseforge.com/minecraft/mc-mods/packages)**|Opinionated item storage. Successor to Worse Barrels.|28,139|1.16.2
**[Packed Storage](https://www.curseforge.com/minecraft/mc-mods/packed-storage)**|Mod extending vanilla storage mechanics with upgraded chests and wood variants|371|1.16.2
**[Painting Cycle](https://www.curseforge.com/minecraft/mc-mods/painting-cycle)**|Allows the player to cycle through placed paintings.|3,325|1.16.2
**[Painting Mod](https://www.curseforge.com/minecraft/mc-mods/painting-mod)**|A mod that allow to paint some block|14,090|1.14.3
**[Palette (Fabric)](https://www.curseforge.com/minecraft/mc-mods/palette-fabric)**|A library that allows adding paintings.|354|1.14-Snapshot
**[Paper Doll](https://www.curseforge.com/minecraft/mc-mods/paper-doll)**|Y'know that vanity feature from Old Console Edition and Bedrock?|2,191|1.14.4
**[Paradox Config (Fabric)](https://www.curseforge.com/minecraft/mc-mods/paradox-config-fabric)**|A Kotlin-based config API for Minecraft|78|1.16-Snapshot
**[Parry](https://www.curseforge.com/minecraft/mc-mods/sword-parry-fabric)**|Sword parrying has returned to Minecraft 1.16!|335|1.16.2
**[Passable Leaves [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-passable-leaves)**|Leaves have no collision box now|1,879|1.16.1
**[Patchouli (Fabric)](https://www.curseforge.com/minecraft/mc-mods/patchouli-fabric)**|Fabric port of Patchouli|51,380|1.16.2
**[pathsuggestion](https://www.curseforge.com/minecraft/mc-mods/pathsuggestion)**|A mod that makes using namespaced identifiers in command suggestions easier.|4,506|1.16-Snapshot
**[PathWatcher](https://www.curseforge.com/minecraft/mc-mods/pathwatcher)**|Server mod/config watcher|39|1.14.4
**[Paused Panorama](https://www.curseforge.com/minecraft/mc-mods/paused-panorama)**|Pauses the rotating panorama on the title screen.|19|1.16.2
**[PeacefulSurface (Fabric)](https://www.curseforge.com/minecraft/mc-mods/peacefulsurface-fabric)**|peaceful than normal|2,132|1.16.2
**[Peachy](https://www.curseforge.com/minecraft/mc-mods/peachy)**|Adds peaches.|3,115|1.14-Snapshot
**[Pehkui](https://www.curseforge.com/minecraft/mc-mods/pehkui)**|Fabric mod that allows resizing of most entities|1,944|1.16.2
**[Permafrost](https://www.curseforge.com/minecraft/mc-mods/permafrost)**|Prevents light from affecting Ice and Snow Layers|12,481|1.15.1
